Variant,Direction,Baseline,3-RiDS,6-RiDS,9-RiDS
,Theory,$20.0 \pm 0.0$,$6.608 \pm 4.1336937$,$3.256 \pm 3.2299995$,$2.28 \pm 2.7468428$
Landlocked,East,$16.32 \pm 4.9236005$,$5.92 \pm 4.3058263$,$2.88 \pm 3.2056007$,$1.84 \pm 2.6798473$
Landlocked,West,$15.76 \pm 3.3396936$,$5.6 \pm 3.579499$,$2.72 \pm 3.0415211$,$1.76 \pm 2.4224509$
Landlocked,North,$20.0 \pm 0.0$,$7.12 \pm 3.9447638$,$3.44 \pm 3.3011055$,$2.24 \pm 2.7910912$
Landlocked,South,$18.96 \pm 1.7554149$,$6.72 \pm 3.8751279$,$3.2 \pm 3.300135$,$2.08 \pm 2.8002574$
Coastal,East,$0.0 \pm 0.0$,$0.0 \pm 0.0$,$0.0 \pm 0.0$,$0.0 \pm 0.0$
Coastal,West,$18.88 \pm 2.7772852$,$6.72 \pm 4.0370655$,$3.2 \pm 3.300135$,$2.08 \pm 2.6834308$
Coastal,North,$13.76 \pm 1.9865413$,$4.64 \pm 3.4296009$,$2.0 \pm 2.5625313$,$1.52 \pm 2.3864818$
Coastal,South,$20.0 \pm 0.0$,$7.12 \pm 3.9447638$,$3.44 \pm 3.3011055$,$2.24 \pm 2.7910912$
Polar,East,$10.4 \pm 1.9605723$,$3.6 \pm 2.6846242$,$1.68 \pm 2.2765726$,$1.04 \pm 1.9292802$
Polar,West,$5.84 \pm 1.9945873$,$2.08 \pm 2.4330063$,$1.12 \pm 1.9670967$,$0.88 \pm 1.8409207$
Polar,North,,,,
Polar,South,,,,
Equatorial,East,$5.152 \pm 7.2358312$,$1.76 \pm 3.5035232$,$1.04 \pm 2.2368289$,$0.8 \pm 2.2638739$
Equatorial,West,$4.8 \pm 7.068944$,$1.68 \pm 3.4971174$,$1.04 \pm 2.3757197$,$0.8 \pm 2.2638739$
Equatorial,North,$16.32 \pm 1.0857158$,$5.92 \pm 4.5446952$,$2.88 \pm 3.3040152$,$1.84 \pm 2.4290534$
Equatorial,South,$15.2 \pm 1.6008006$,$5.52 \pm 3.7448129$,$2.64 \pm 3.162341$,$1.68 \pm 2.413177$
IntraOrbital,East,$16.304 \pm 4.9246153$,$5.92 \pm 4.3280865$,$2.88 \pm 3.2056007$,$1.84 \pm 2.6798473$
IntraOrbital,West,$15.76 \pm 3.3396936$,$5.6 \pm 3.579499$,$2.72 \pm 3.0415211$,$1.76 \pm 2.4224509$
IntraOrbital,North,$20.0 \pm 0.0$,$7.12 \pm 3.9447638$,$3.44 \pm 3.3011055$,$2.24 \pm 2.7910912$
IntraOrbital,South,$18.96 \pm 1.7554149$,$6.72 \pm 3.8751279$,$3.2 \pm 3.300135$,$2.08 \pm 2.8002574$
