Variant,Direction,Baseline,3-RiDS,6-RiDS,9-RiDS
,Theory,1.0,0.3333,0.1667,0.1111
Landlocked,East,0.549,0.0902,0.0441,0.0147
Landlocked,West,0.3137,0.0402,0.0196,0.0176
Landlocked,North,0.9804,0.1755,0.0598,0.0471
Landlocked,South,0.7255,0.1186,0.0598,0.0402
Coastal,East,0.0,0.0,0.0,0.0
Coastal,West,0.8431,0.149,0.0569,0.0333
Coastal,North,0.0,0.0,0.0,0.0
Coastal,South,0.9804,0.1725,0.0804,0.051
Polar,East,0.0,0.0,0.0,0.0
Polar,West,0.0,0.0,0.0,0.0
Polar,North,,,,
Polar,South,,,,
Equatorial,East,0.1196,0.0216,0.0118,0.0049
Equatorial,West,0.0,0.0,0.0,0.0
Equatorial,North,0.0784,0.0147,0.0029,0.0029
Equatorial,South,0.0,0.0,0.0,0.0
IntraOrbital,East,0.5471,0.099,0.048,0.0245
IntraOrbital,West,0.3137,0.0471,0.0225,0.0137
IntraOrbital,North,0.9804,0.1784,0.0745,0.051
IntraOrbital,South,0.7255,0.1314,0.052,0.0245
