Variant,Direction,Baseline,3-RiDS,6-RiDS,9-RiDS
Landlocked,East,22.4159794,25.2746181,28.1704454,33.0765896
Landlocked,West,26.1458664,27.1962204,30.3981533,32.6665115
Landlocked,North,42.1799717,45.3698635,53.4550629,60.0997238
Landlocked,South,39.7934647,45.1861877,50.4428368,55.5693092
Coastal,East,,,,
Coastal,West,105.8817596,107.9987907,111.4191666,115.6926651
Coastal,North,25.1371136,26.067215,30.986351,35.5149651
Coastal,South,30.7054377,45.9461403,50.3822155,63.9347191
Polar,East,60.9345646,68.7516365,76.5973778,71.5626564
Polar,West,74.2177124,79.3905334,82.0629272,77.2706833
Polar,North,,,,
Polar,South,,,,
Equatorial,East,77.601387,83.3897133,85.9021606,85.2605858
Equatorial,West,97.0255089,97.0318375,98.009079,97.307518
Equatorial,North,21.9990396,29.8191128,37.0095978,36.4620476
Equatorial,South,47.5440617,48.1178608,54.7115345,54.6702442
IntraOrbital,East,22.4115982,25.2742662,28.1704454,33.0765896
IntraOrbital,West,26.1458664,27.1962204,30.3981533,32.6665115
IntraOrbital,North,42.1799717,45.3698635,53.4550629,60.0997238
IntraOrbital,South,39.7934647,45.1861877,50.4428368,55.5693092
