FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,533 -> 532,0,20000,0
2,533 -> 532,0,20000,0
3,533 -> 532,0,20000,0
4,533 -> 532,0,20000,0
5,533 -> 532,0,20000,0
6,533 -> 532,0,20000,0
7,533 -> 532,0,20000,0
8,533 -> 532,0,20000,0
9,533 -> 532,0,20000,0
10,533 -> 532,0,20000,0
11,533 -> 532,0,20000,0
12,533 -> 532,0,20000,0
13,533 -> 532,0,20000,0
14,533 -> 532,0,20000,0
15,533 -> 532,0,20000,0
16,533 -> 532,0,20000,0
17,533 -> 532,0,20000,0
18,533 -> 532,0,20000,0
19,533 -> 532,0,20000,0
20,533 -> 532,0,20000,0
21,533 -> 532,0,20000,0
22,533 -> 532,0,20000,0
23,533 -> 532,0,20000,0
24,534 -> 533,0,20000,0
25,534 -> 533,0,20000,0
26,534 -> 533,0,20000,0
27,534 -> 533,0,20000,0
28,534 -> 533,0,20000,0
29,534 -> 533,0,20000,0
30,534 -> 533,0,20000,0
31,534 -> 533,0,20000,0
32,534 -> 533,0,20000,0
33,534 -> 533,0,20000,0
34,534 -> 533,0,20000,0
35,534 -> 533,0,20000,0
36,534 -> 533,0,20000,0
37,534 -> 533,0,20000,0
38,534 -> 533,0,20000,0
39,534 -> 533,0,20000,0
40,534 -> 533,0,20000,0
41,534 -> 533,0,20000,0
42,534 -> 533,0,20000,0
43,534 -> 533,0,20000,0
44,534 -> 533,0,20000,0
45,534 -> 533,0,20000,0
46,534 -> 533,0,20000,0
47,534 -> 533,0,20000,0
48,534 -> 533,0,20000,0
49,534 -> 533,0,20000,0
50,535 -> 534,0,20000,0
