FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,1105 -> 1106,4,12000,8000
2,1105 -> 1106,4,12000,8000
3,1105 -> 1106,4,20000,0
4,1105 -> 1106,4,20000,0
5,1105 -> 1106,4,4000,16000
6,1105 -> 1106,3,8000,12000
7,1105 -> 1106,3,20000,0
8,1105 -> 1106,3,20000,0
9,1105 -> 1106,3,20000,0
10,1105 -> 1106,3,16000,4000
11,1105 -> 1106,3,16000,4000
12,1105 -> 1106,3,12000,8000
13,1105 -> 1106,3,20000,0
14,1105 -> 1106,3,16000,4000
15,1105 -> 1106,3,20000,0
16,1105 -> 1106,3,16000,4000
17,1105 -> 1106,3,20000,0
18,1105 -> 1106,3,12000,8000
19,1105 -> 1106,3,20000,0
20,1106 -> 1107,4,16000,4000
21,1106 -> 1107,4,16000,4000
22,1106 -> 1107,4,4000,16000
23,1106 -> 1107,4,4000,16000
24,1106 -> 1107,4,20000,0
25,1106 -> 1107,4,4000,16000
26,1106 -> 1107,4,20000,0
27,1106 -> 1107,4,4000,16000
28,1106 -> 1107,4,20000,0
29,1106 -> 1107,4,20000,0
30,1106 -> 1107,4,4000,16000
31,1106 -> 1107,4,16000,4000
32,1106 -> 1107,3,20000,0
33,1106 -> 1107,3,12000,8000
34,1106 -> 1107,3,20000,0
35,1106 -> 1107,3,16000,4000
36,1106 -> 1107,3,12000,8000
37,1106 -> 1107,3,20000,0
38,1106 -> 1107,3,20000,0
39,1106 -> 1107,3,8000,12000
40,1106 -> 1107,3,16000,4000
41,1106 -> 1107,3,20000,0
42,1106 -> 1107,3,20000,0
43,1106 -> 1107,3,16000,4000
44,1106 -> 1107,3,16000,4000
45,1106 -> 1107,3,12000,8000
46,1107 -> 1108,4,20000,0
47,1107 -> 1108,4,20000,0
48,1107 -> 1108,4,8000,12000
49,1107 -> 1108,4,20000,0
50,1107 -> 1108,4,20000,0
