FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,1105 -> 1106,4,4000,16000
2,1105 -> 1106,4,4000,16000
3,1105 -> 1106,4,4000,16000
4,1105 -> 1106,4,4000,16000
5,1105 -> 1106,4,4000,16000
6,1105 -> 1106,3,8000,12000
7,1105 -> 1106,3,8000,12000
8,1105 -> 1106,3,8000,12000
9,1105 -> 1106,3,8000,12000
10,1105 -> 1106,3,8000,12000
11,1105 -> 1106,3,8000,12000
12,1105 -> 1106,3,8000,12000
13,1105 -> 1106,3,8000,12000
14,1105 -> 1106,3,8000,12000
15,1105 -> 1106,3,8000,12000
16,1105 -> 1106,3,8000,12000
17,1105 -> 1106,3,8000,12000
18,1105 -> 1106,3,8000,12000
19,1105 -> 1106,3,8000,12000
20,1106 -> 1107,4,4000,16000
21,1106 -> 1107,4,4000,16000
22,1106 -> 1107,4,4000,16000
23,1106 -> 1107,4,4000,16000
24,1106 -> 1107,4,4000,16000
25,1106 -> 1107,4,4000,16000
26,1106 -> 1107,4,4000,16000
27,1106 -> 1107,4,4000,16000
28,1106 -> 1107,4,4000,16000
29,1106 -> 1107,4,4000,16000
30,1106 -> 1107,4,4000,16000
31,1106 -> 1107,4,4000,16000
32,1106 -> 1107,3,8000,12000
33,1106 -> 1107,3,8000,12000
34,1106 -> 1107,3,8000,12000
35,1106 -> 1107,3,8000,12000
36,1106 -> 1107,3,8000,12000
37,1106 -> 1107,3,8000,12000
38,1106 -> 1107,3,8000,12000
39,1106 -> 1107,3,8000,12000
40,1106 -> 1107,3,8000,12000
41,1106 -> 1107,3,8000,12000
42,1106 -> 1107,3,8000,12000
43,1106 -> 1107,3,8000,12000
44,1106 -> 1107,3,8000,12000
45,1106 -> 1107,3,8000,12000
46,1107 -> 1108,4,4000,16000
47,1107 -> 1108,4,4000,16000
48,1107 -> 1108,4,4000,16000
49,1107 -> 1108,4,4000,16000
50,1107 -> 1108,4,4000,16000
