FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,1106 -> 1105,5,0,20000
2,1106 -> 1105,5,0,20000
3,1106 -> 1105,5,0,20000
4,1106 -> 1105,5,0,20000
5,1106 -> 1105,5,0,20000
6,1106 -> 1105,5,0,20000
7,1106 -> 1105,5,0,20000
8,1106 -> 1105,5,0,20000
9,1106 -> 1105,5,0,20000
10,1106 -> 1105,5,0,20000
11,1106 -> 1105,5,0,20000
12,1106 -> 1105,5,0,20000
13,1106 -> 1105,5,0,20000
14,1106 -> 1105,5,0,20000
15,1106 -> 1105,5,0,20000
16,1106 -> 1105,5,0,20000
17,1106 -> 1105,5,0,20000
18,1106 -> 1105,5,0,20000
19,1106 -> 1105,5,0,20000
20,1107 -> 1106,5,0,20000
21,1107 -> 1106,5,0,20000
22,1107 -> 1106,5,0,20000
23,1107 -> 1106,5,0,20000
24,1107 -> 1106,5,0,20000
25,1107 -> 1106,5,0,20000
26,1107 -> 1106,5,0,20000
27,1107 -> 1106,5,0,20000
28,1107 -> 1106,5,0,20000
29,1107 -> 1106,5,0,20000
30,1107 -> 1106,5,0,20000
31,1107 -> 1106,5,0,20000
32,1107 -> 1106,5,0,20000
33,1107 -> 1106,5,0,20000
34,1107 -> 1106,5,0,20000
35,1107 -> 1106,5,0,20000
36,1107 -> 1106,5,0,20000
37,1107 -> 1106,5,0,20000
38,1107 -> 1106,5,0,20000
39,1107 -> 1106,5,0,20000
40,1107 -> 1106,5,0,20000
41,1107 -> 1106,5,0,20000
42,1107 -> 1106,5,0,20000
43,1107 -> 1106,5,0,20000
44,1107 -> 1106,5,0,20000
45,1107 -> 1106,5,0,20000
46,1108 -> 1107,5,0,20000
47,1108 -> 1107,5,0,20000
48,1108 -> 1107,5,0,20000
49,1108 -> 1107,5,0,20000
50,1108 -> 1107,5,0,20000
