FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,532 -> 533,5,20000,0
2,532 -> 533,5,4000,16000
3,532 -> 533,5,16000,4000
4,532 -> 533,5,20000,0
5,532 -> 533,5,20000,0
6,532 -> 533,5,4000,16000
7,532 -> 533,5,4000,16000
8,532 -> 533,5,20000,0
9,532 -> 533,5,20000,0
10,532 -> 533,5,20000,0
11,532 -> 533,5,20000,0
12,532 -> 533,5,8000,12000
13,532 -> 533,5,8000,12000
14,532 -> 533,5,12000,8000
15,532 -> 533,5,20000,0
16,532 -> 533,5,0,20000
17,532 -> 533,5,4000,16000
18,532 -> 533,5,20000,0
19,532 -> 533,5,8000,12000
20,532 -> 533,5,8000,12000
21,532 -> 533,5,4000,16000
22,532 -> 533,5,20000,0
23,532 -> 533,3,20000,0
24,533 -> 534,3,20000,0
25,533 -> 534,3,20000,0
26,533 -> 534,3,8000,12000
27,533 -> 534,3,20000,0
28,533 -> 534,5,0,20000
29,533 -> 534,5,20000,0
30,533 -> 534,5,20000,0
31,533 -> 534,5,8000,12000
32,533 -> 534,5,20000,0
33,533 -> 534,5,20000,0
34,533 -> 534,5,20000,0
35,533 -> 534,5,20000,0
36,533 -> 534,5,20000,0
37,533 -> 534,5,20000,0
38,533 -> 534,5,20000,0
39,533 -> 534,5,20000,0
40,533 -> 534,5,8000,12000
41,533 -> 534,5,0,20000
42,533 -> 534,5,8000,12000
43,533 -> 534,5,20000,0
44,533 -> 534,5,20000,0
45,533 -> 534,3,20000,0
46,533 -> 534,3,20000,0
47,533 -> 534,5,20000,0
48,533 -> 534,5,20000,0
49,533 -> 534,3,20000,0
50,534 -> 535,3,20000,0
