FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,532 -> 533,5,0,20000
2,532 -> 533,5,0,20000
3,532 -> 533,5,0,20000
4,532 -> 533,5,0,20000
5,532 -> 533,5,0,20000
6,532 -> 533,5,0,20000
7,532 -> 533,5,0,20000
8,532 -> 533,5,0,20000
9,532 -> 533,5,0,20000
10,532 -> 533,5,0,20000
11,532 -> 533,5,0,20000
12,532 -> 533,5,0,20000
13,532 -> 533,5,0,20000
14,532 -> 533,5,0,20000
15,532 -> 533,5,0,20000
16,532 -> 533,5,0,20000
17,532 -> 533,5,0,20000
18,532 -> 533,5,0,20000
19,532 -> 533,5,0,20000
20,532 -> 533,5,0,20000
21,532 -> 533,5,0,20000
22,532 -> 533,5,0,20000
23,532 -> 533,3,8000,12000
24,533 -> 534,3,8000,12000
25,533 -> 534,3,8000,12000
26,533 -> 534,3,8000,12000
27,533 -> 534,3,8000,12000
28,533 -> 534,5,0,20000
29,533 -> 534,5,0,20000
30,533 -> 534,5,0,20000
31,533 -> 534,5,0,20000
32,533 -> 534,5,0,20000
33,533 -> 534,5,0,20000
34,533 -> 534,5,0,20000
35,533 -> 534,5,0,20000
36,533 -> 534,5,0,20000
37,533 -> 534,5,0,20000
38,533 -> 534,5,0,20000
39,533 -> 534,5,0,20000
40,533 -> 534,5,0,20000
41,533 -> 534,5,0,20000
42,533 -> 534,5,0,20000
43,533 -> 534,5,0,20000
44,533 -> 534,5,0,20000
45,533 -> 534,5,0,20000
46,533 -> 534,5,0,20000
47,533 -> 534,5,0,20000
48,533 -> 534,5,0,20000
49,533 -> 534,3,8000,12000
50,534 -> 535,3,8000,12000
