FRAME,PATHS
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,Cali -> Dakar, Senegal
11,Bogota -> Luanda,Maracaibo -> Luanda,Cali -> Luanda
12,Bogota -> Luanda,Maracaibo -> Luanda,Cali -> Luanda
13,Bogota -> Luanda,Maracaibo -> Luanda,Cali -> Luanda
14,Bogota -> Kinshasa,Maracaibo -> Luanda,Cali -> Kinshasa
15,Bogota -> Kinshasa,Maracaibo -> Luanda,Cali -> Kinshasa
16,Bogota -> Kinshasa,Cali -> Luanda,Maracaibo -> Luanda,Quito -> Luanda,Guayaquil -> Kinshasa
17,Bogota -> Kinshasa,Cali -> Luanda,Maracaibo -> Luanda,Quito -> Luanda,Guayaquil -> Kinshasa
18,Bogota -> Kinshasa,Cali -> Kinshasa,Maracaibo -> Luanda,Guayaquil -> Luanda,Quito -> Kinshasa
19,Bogota -> Kinshasa,Cali -> Kinshasa,Maracaibo -> Luanda,Guayaquil -> Luanda,Quito -> Kinshasa
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,nan
31,nan
32,nan
33,nan
34,nan
35,nan
36,Cali -> Dakar, Senegal
37,Bogota -> Luanda,Maracaibo -> Luanda,Cali -> Luanda
38,Bogota -> Luanda,Maracaibo -> Luanda,Cali -> Luanda
39,Bogota -> Luanda,Maracaibo -> Luanda,Cali -> Luanda
40,Bogota -> Kinshasa,Maracaibo -> Luanda,Cali -> Kinshasa
41,Bogota -> Kinshasa,Maracaibo -> Luanda,Cali -> Kinshasa
42,Bogota -> Kinshasa,Cali -> Luanda,Maracaibo -> Luanda,Quito -> Luanda,Guayaquil -> Kinshasa
43,Bogota -> Kinshasa,Cali -> Luanda,Maracaibo -> Luanda,Quito -> Luanda,Guayaquil -> Kinshasa
44,Bogota -> Kinshasa,Cali -> Kinshasa,Maracaibo -> Luanda,Guayaquil -> Luanda,Quito -> Kinshasa
45,Bogota -> Kinshasa,Cali -> Kinshasa,Maracaibo -> Luanda,Guayaquil -> Luanda,Quito -> Kinshasa
46,nan
47,nan
48,nan
49,nan
50,nan
