FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,275 -> 276,4,4000,16000
2,275 -> 276,4,4000,16000
3,275 -> 276,4,4000,16000
4,275 -> 276,4,4000,16000
5,275 -> 276,4,4000,16000
6,275 -> 276,4,4000,16000
7,275 -> 276,4,4000,16000
8,275 -> 276,4,4000,16000
9,275 -> 276,4,4000,16000
10,275 -> 276,4,4000,16000
11,275 -> 276,4,4000,16000
12,275 -> 276,4,4000,16000
13,275 -> 276,4,4000,16000
14,275 -> 276,4,4000,16000
15,275 -> 276,4,4000,16000
16,275 -> 276,4,4000,16000
17,275 -> 276,4,4000,16000
18,275 -> 276,4,4000,16000
19,275 -> 276,4,4000,16000
20,275 -> 276,3,8000,12000
21,275 -> 276,3,8000,12000
22,275 -> 276,3,8000,12000
23,275 -> 276,3,8000,12000
24,275 -> 276,3,8000,12000
25,276 -> 277,4,4000,16000
26,276 -> 277,4,4000,16000
27,276 -> 277,4,4000,16000
28,276 -> 277,4,4000,16000
29,276 -> 277,4,4000,16000
30,276 -> 277,4,4000,16000
31,276 -> 277,4,4000,16000
32,276 -> 277,4,4000,16000
33,276 -> 277,4,4000,16000
34,276 -> 277,4,4000,16000
35,276 -> 277,4,4000,16000
36,276 -> 277,4,4000,16000
37,276 -> 277,4,4000,16000
38,276 -> 277,4,4000,16000
39,276 -> 277,4,4000,16000
40,276 -> 277,4,4000,16000
41,276 -> 277,4,4000,16000
42,276 -> 277,4,4000,16000
43,276 -> 277,4,4000,16000
44,276 -> 277,4,4000,16000
45,276 -> 277,4,4000,16000
46,276 -> 277,3,8000,12000
47,276 -> 277,3,8000,12000
48,276 -> 277,3,8000,12000
49,276 -> 277,3,8000,12000
50,276 -> 277,3,8000,12000
