FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,969 -> 1034,0,20000,0
2,969 -> 1034,0,20000,0
3,969 -> 1034,0,20000,0
4,969 -> 1034,0,20000,0
5,969 -> 1034,0,20000,0
6,969 -> 1034,0,20000,0
7,969 -> 1034,0,20000,0
8,969 -> 1034,0,20000,0
9,969 -> 1034,0,20000,0
10,212 -> 277,3,8000,12000
11,212 -> 277,3,20000,0
12,212 -> 277,4,12000,8000
13,212 -> 277,4,20000,0
14,212 -> 277,4,20000,0
15,212 -> 277,4,4000,16000
16,212 -> 277,4,20000,0
17,212 -> 277,4,4000,16000
18,970 -> 1035,0,20000,0
19,970 -> 1035,0,20000,0
20,970 -> 1035,0,20000,0
21,970 -> 1035,0,20000,0
22,970 -> 1035,0,20000,0
23,970 -> 1035,0,20000,0
24,970 -> 1035,0,20000,0
25,970 -> 1035,0,20000,0
26,970 -> 1035,0,20000,0
27,970 -> 1035,0,20000,0
28,970 -> 1035,0,20000,0
29,970 -> 1035,0,20000,0
30,970 -> 1035,0,20000,0
31,970 -> 1035,0,20000,0
32,970 -> 1035,0,20000,0
33,970 -> 1035,0,20000,0
34,970 -> 1035,0,20000,0
35,970 -> 1035,0,20000,0
36,213 -> 278,3,20000,0
37,213 -> 278,3,16000,4000
38,213 -> 278,4,20000,0
39,213 -> 278,4,20000,0
40,213 -> 278,4,4000,16000
41,213 -> 278,4,20000,0
42,213 -> 278,4,20000,0
43,213 -> 278,4,12000,8000
44,971 -> 1036,0,20000,0
45,971 -> 1036,0,20000,0
46,971 -> 1036,0,20000,0
47,971 -> 1036,0,20000,0
48,971 -> 1036,0,20000,0
49,971 -> 1036,0,20000,0
50,971 -> 1036,0,20000,0
