FRAME,PATHS
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,Luanda -> Bogota,Dar es Salaam -> Bogota,Nairobi -> Cali
13,Luanda -> Bogota,Dar es Salaam -> Bogota,Nairobi -> Cali
14,Kinshasa -> Bogota,Luanda -> Bogota,Dar es Salaam -> Cali,Nairobi -> Cali
15,Kinshasa -> Bogota,Luanda -> Bogota,Dar es Salaam -> Medellin,Nairobi -> Medellin
16,Kinshasa -> Bogota,Luanda -> Medellin,Dar es Salaam -> Medellin,Nairobi -> Bogota
17,Kinshasa -> Bogota,Luanda -> Medellin,Dar es Salaam -> Medellin,Nairobi -> Bogota
18,Kinshasa -> Bogota,Luanda -> Medellin,Nairobi -> Cali,Dar es Salaam -> Bogota
19,Kinshasa -> Bogota,Luanda -> Medellin,Nairobi -> Cali,Dar es Salaam -> Bogota
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,nan
31,nan
32,nan
33,nan
34,nan
35,nan
36,nan
37,nan
38,Luanda -> Bogota,Dar es Salaam -> Bogota,Nairobi -> Cali
39,Luanda -> Bogota,Dar es Salaam -> Bogota,Nairobi -> Cali
40,Kinshasa -> Bogota,Luanda -> Bogota,Dar es Salaam -> Cali,Nairobi -> Cali
41,Kinshasa -> Bogota,Luanda -> Bogota,Dar es Salaam -> Medellin,Nairobi -> Medellin
42,Kinshasa -> Bogota,Luanda -> Bogota,Dar es Salaam -> Medellin,Nairobi -> Medellin
43,Kinshasa -> Bogota,Luanda -> Medellin,Dar es Salaam -> Medellin,Nairobi -> Bogota
44,Kinshasa -> Bogota,Luanda -> Medellin,Nairobi -> Cali,Dar es Salaam -> Bogota
45,Kinshasa -> Bogota,Luanda -> Medellin,Nairobi -> Cali,Dar es Salaam -> Bogota
46,nan
47,nan
48,nan
49,nan
50,nan
