FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,,0,nan,nan
2,,0,nan,nan
3,,0,nan,nan
4,,0,nan,nan
5,,0,nan,nan
6,,0,nan,nan
7,,0,nan,nan
8,1364 -> 1365,0,20000,0
9,1364 -> 1365,0,20000,0
10,1364 -> 1365,0,20000,0
11,1364 -> 1365,0,20000,0
12,1364 -> 1365,0,20000,0
13,1364 -> 1365,0,20000,0
14,1364 -> 1365,0,20000,0
15,1364 -> 1365,0,20000,0
16,1364 -> 1365,0,20000,0
17,1364 -> 1365,0,20000,0
18,1364 -> 1365,0,20000,0
19,1364 -> 1365,0,20000,0
20,1364 -> 1365,0,20000,0
21,1364 -> 1365,0,20000,0
22,1364 -> 1365,0,20000,0
23,1364 -> 1365,0,20000,0
24,1364 -> 1365,0,20000,0
25,1364 -> 1365,0,20000,0
26,1364 -> 1365,0,20000,0
27,1364 -> 1365,0,20000,0
28,1364 -> 1365,0,20000,0
29,1364 -> 1365,0,20000,0
30,1364 -> 1365,0,20000,0
31,1364 -> 1365,0,20000,0
32,1364 -> 1365,0,20000,0
33,1364 -> 1365,0,20000,0
34,1364 -> 1365,0,20000,0
35,1364 -> 1365,0,20000,0
36,1364 -> 1365,0,20000,0
37,1364 -> 1365,0,20000,0
38,1364 -> 1365,0,20000,0
39,1364 -> 1365,0,20000,0
40,1364 -> 1365,0,20000,0
41,1364 -> 1365,0,20000,0
42,1364 -> 1365,0,20000,0
43,1364 -> 1365,0,20000,0
44,1364 -> 1365,0,20000,0
45,1364 -> 1365,0,20000,0
46,1364 -> 1365,0,20000,0
47,1364 -> 1365,0,20000,0
48,1364 -> 1365,0,20000,0
49,1364 -> 1365,0,20000,0
50,1364 -> 1365,0,20000,0
