FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,667 -> 666,1,20000,0
2,667 -> 666,1,16000,4000
3,667 -> 666,1,16000,4000
4,667 -> 666,1,20000,0
5,667 -> 666,2,20000,0
6,667 -> 666,2,20000,0
7,667 -> 666,2,20000,0
8,667 -> 666,2,20000,0
9,667 -> 666,2,12000,8000
10,667 -> 666,2,20000,0
11,667 -> 666,2,20000,0
12,667 -> 666,2,20000,0
13,667 -> 666,2,20000,0
14,667 -> 666,2,12000,8000
15,667 -> 666,2,20000,0
16,667 -> 666,2,20000,0
17,667 -> 666,2,20000,0
18,667 -> 666,2,20000,0
19,667 -> 666,2,20000,0
20,667 -> 666,2,20000,0
21,667 -> 666,2,20000,0
22,667 -> 666,2,20000,0
23,668 -> 667,2,12000,8000
24,668 -> 667,2,16000,4000
25,668 -> 667,2,20000,0
26,668 -> 667,1,16000,4000
27,668 -> 667,1,16000,4000
28,668 -> 667,1,20000,0
29,668 -> 667,1,20000,0
30,668 -> 667,1,20000,0
