FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,667 -> 666,1,16000,4000
2,667 -> 666,1,16000,4000
3,667 -> 666,1,16000,4000
4,667 -> 666,1,16000,4000
5,667 -> 666,2,12000,8000
6,667 -> 666,2,12000,8000
7,667 -> 666,2,12000,8000
8,667 -> 666,2,12000,8000
9,667 -> 666,2,12000,8000
10,667 -> 666,2,12000,8000
11,667 -> 666,2,12000,8000
12,667 -> 666,2,12000,8000
13,667 -> 666,2,12000,8000
14,667 -> 666,2,12000,8000
15,667 -> 666,2,12000,8000
16,667 -> 666,2,12000,8000
17,667 -> 666,2,12000,8000
18,667 -> 666,2,12000,8000
19,667 -> 666,2,12000,8000
20,667 -> 666,2,12000,8000
21,667 -> 666,2,12000,8000
22,667 -> 666,2,12000,8000
23,668 -> 667,2,12000,8000
24,668 -> 667,2,12000,8000
25,668 -> 667,2,12000,8000
26,668 -> 667,1,16000,4000
27,668 -> 667,1,16000,4000
28,668 -> 667,1,16000,4000
29,668 -> 667,1,16000,4000
30,668 -> 667,1,16000,4000
31,668 -> 667,2,12000,8000
32,668 -> 667,2,12000,8000
33,668 -> 667,2,12000,8000
34,668 -> 667,2,12000,8000
35,668 -> 667,2,12000,8000
36,668 -> 667,2,12000,8000
37,668 -> 667,2,12000,8000
38,668 -> 667,2,12000,8000
39,668 -> 667,2,12000,8000
40,668 -> 667,2,12000,8000
41,668 -> 667,2,12000,8000
42,668 -> 667,2,12000,8000
43,668 -> 667,2,12000,8000
44,668 -> 667,2,12000,8000
45,668 -> 667,2,12000,8000
46,668 -> 667,2,12000,8000
47,668 -> 667,2,12000,8000
48,668 -> 667,2,12000,8000
49,668 -> 667,2,12000,8000
50,669 -> 668,2,12000,8000
