FRAME,PATHS
0,nan
1,Seattle -> Sydney,Winnipeg -> Sydney
2,Seattle -> Sydney,Winnipeg -> Sydney
3,Seattle -> Sydney,Winnipeg -> Sydney
4,nan
5,nan
6,nan
7,nan
8,nan
9,Winnipeg -> Melbourne
10,Winnipeg -> Melbourne
11,Winnipeg -> Melbourne
12,San Jose -> Sydney,Winnipeg -> Sydney
13,San Jose -> Sydney,Winnipeg -> Sydney
14,San Jose -> Sydney,Winnipeg -> Sydney
15,San Jose -> Sydney,Winnipeg -> Sydney
16,San Jose -> Sydney,Winnipeg -> Sydney
17,San Jose -> Sydney,Winnipeg -> Sydney
18,San Jose -> Sydney,Winnipeg -> Sydney
19,San Jose -> Sydney,Winnipeg -> Sydney
20,San Jose -> Sydney,Winnipeg -> Sydney
21,San Jose -> Sydney,Winnipeg -> Sydney
22,San Jose -> Sydney,Winnipeg -> Sydney
23,San Jose -> Sydney,Winnipeg -> Sydney
24,Winnipeg -> Sydney
25,Winnipeg -> Sydney
26,Seattle -> Sydney,Winnipeg -> Sydney
27,Seattle -> Sydney,Winnipeg -> Sydney
28,Seattle -> Sydney,Winnipeg -> Sydney
29,Seattle -> Sydney,Winnipeg -> Sydney
30,nan
31,nan
32,nan
33,nan
34,nan
35,Winnipeg -> Melbourne
36,Winnipeg -> Melbourne
37,Winnipeg -> Melbourne
38,San Jose -> Sydney,Winnipeg -> Sydney
39,San Jose -> Sydney,Winnipeg -> Sydney
40,San Jose -> Sydney,Winnipeg -> Sydney
41,San Jose -> Sydney,Winnipeg -> Sydney
42,San Jose -> Sydney,Winnipeg -> Sydney
43,San Jose -> Sydney,Winnipeg -> Sydney
44,San Jose -> Sydney,Winnipeg -> Sydney
45,San Jose -> Sydney,Winnipeg -> Sydney
46,San Jose -> Sydney,Winnipeg -> Sydney
47,San Jose -> Sydney,Winnipeg -> Sydney
48,San Jose -> Sydney,Winnipeg -> Sydney
49,San Jose -> Sydney,Winnipeg -> Sydney
50,Winnipeg -> Sydney
