FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,666 -> 667,2,12000,8000
2,666 -> 667,2,12000,8000
3,666 -> 667,2,12000,8000
4,666 -> 667,0,20000,0
5,666 -> 667,0,20000,0
6,666 -> 667,0,20000,0
7,666 -> 667,0,20000,0
8,666 -> 667,0,20000,0
9,666 -> 667,1,16000,4000
10,666 -> 667,1,16000,4000
11,666 -> 667,1,16000,4000
12,666 -> 667,2,12000,8000
13,666 -> 667,2,12000,8000
14,666 -> 667,2,12000,8000
15,666 -> 667,2,12000,8000
16,666 -> 667,2,12000,8000
17,666 -> 667,2,12000,8000
18,666 -> 667,2,12000,8000
19,666 -> 667,2,12000,8000
20,666 -> 667,2,12000,8000
21,666 -> 667,2,12000,8000
22,666 -> 667,2,12000,8000
23,667 -> 668,2,12000,8000
24,667 -> 668,1,16000,4000
25,667 -> 668,1,16000,4000
26,667 -> 668,2,12000,8000
27,667 -> 668,2,12000,8000
28,667 -> 668,2,12000,8000
29,667 -> 668,2,12000,8000
30,667 -> 668,0,20000,0
31,667 -> 668,0,20000,0
32,667 -> 668,0,20000,0
33,667 -> 668,0,20000,0
34,667 -> 668,0,20000,0
35,667 -> 668,1,16000,4000
36,667 -> 668,1,16000,4000
37,667 -> 668,1,16000,4000
38,667 -> 668,2,12000,8000
39,667 -> 668,2,12000,8000
40,667 -> 668,2,12000,8000
41,667 -> 668,2,12000,8000
42,667 -> 668,2,12000,8000
43,667 -> 668,2,12000,8000
44,667 -> 668,2,12000,8000
45,667 -> 668,2,12000,8000
46,667 -> 668,2,12000,8000
47,667 -> 668,2,12000,8000
48,667 -> 668,2,12000,8000
49,667 -> 668,2,12000,8000
50,668 -> 669,1,16000,4000
