FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,577 -> 576,5,0,20000
2,577 -> 576,5,0,20000
3,577 -> 576,5,0,20000
4,577 -> 576,5,0,20000
5,577 -> 576,5,0,20000
6,577 -> 576,5,0,20000
7,577 -> 576,5,0,20000
8,577 -> 576,5,0,20000
9,577 -> 576,5,0,20000
10,577 -> 576,5,0,20000
11,577 -> 576,5,0,20000
12,577 -> 576,5,0,20000
13,577 -> 576,5,0,20000
14,577 -> 576,5,0,20000
15,577 -> 576,5,0,20000
16,577 -> 576,5,0,20000
17,577 -> 576,5,0,20000
18,577 -> 576,5,0,20000
19,578 -> 577,4,4000,16000
20,578 -> 577,4,4000,16000
21,578 -> 577,4,4000,16000
22,578 -> 577,4,4000,16000
23,578 -> 577,4,4000,16000
24,578 -> 577,4,4000,16000
25,578 -> 577,4,4000,16000
26,578 -> 577,5,0,20000
27,578 -> 577,5,0,20000
28,578 -> 577,5,0,20000
29,578 -> 577,5,0,20000
30,578 -> 577,5,0,20000
31,578 -> 577,5,0,20000
32,578 -> 577,5,0,20000
33,578 -> 577,5,0,20000
34,578 -> 577,5,0,20000
35,578 -> 577,5,0,20000
36,578 -> 577,5,0,20000
37,578 -> 577,5,0,20000
38,578 -> 577,5,0,20000
39,578 -> 577,5,0,20000
40,578 -> 577,5,0,20000
41,578 -> 577,5,0,20000
42,578 -> 577,5,0,20000
43,578 -> 577,5,0,20000
44,578 -> 577,5,0,20000
45,579 -> 578,4,4000,16000
46,579 -> 578,4,4000,16000
47,579 -> 578,4,4000,16000
48,579 -> 578,4,4000,16000
49,579 -> 578,4,4000,16000
50,579 -> 578,4,4000,16000
