FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,529 -> 530,4,4000,16000
2,529 -> 530,3,8000,12000
3,529 -> 530,3,8000,12000
4,529 -> 530,3,8000,12000
5,529 -> 530,3,8000,12000
6,529 -> 530,3,8000,12000
7,529 -> 530,3,8000,12000
8,529 -> 530,3,8000,12000
9,529 -> 530,3,8000,12000
10,529 -> 530,3,8000,12000
11,529 -> 530,3,8000,12000
12,530 -> 531,5,0,20000
13,530 -> 531,5,0,20000
14,530 -> 531,5,0,20000
15,530 -> 531,5,0,20000
16,530 -> 531,5,0,20000
17,530 -> 531,5,0,20000
18,530 -> 531,5,0,20000
19,530 -> 531,5,0,20000
20,530 -> 531,4,4000,16000
21,530 -> 531,4,4000,16000
22,530 -> 531,4,4000,16000
23,530 -> 531,4,4000,16000
24,530 -> 531,4,4000,16000
25,530 -> 531,4,4000,16000
26,530 -> 531,4,4000,16000
27,530 -> 531,4,4000,16000
28,530 -> 531,4,4000,16000
29,530 -> 531,3,8000,12000
30,530 -> 531,3,8000,12000
31,530 -> 531,3,8000,12000
32,530 -> 531,3,8000,12000
33,530 -> 531,3,8000,12000
34,530 -> 531,3,8000,12000
35,530 -> 531,3,8000,12000
36,530 -> 531,3,8000,12000
37,530 -> 531,3,8000,12000
38,531 -> 532,5,0,20000
39,531 -> 532,5,0,20000
40,531 -> 532,5,0,20000
41,531 -> 532,5,0,20000
42,531 -> 532,5,0,20000
43,531 -> 532,5,0,20000
44,531 -> 532,5,0,20000
45,531 -> 532,5,0,20000
46,531 -> 532,4,4000,16000
47,531 -> 532,4,4000,16000
48,531 -> 532,4,4000,16000
49,531 -> 532,4,4000,16000
50,531 -> 532,4,4000,16000
