FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,530 -> 529,5,0,20000
2,530 -> 529,5,0,20000
3,530 -> 529,5,0,20000
4,530 -> 529,5,0,20000
5,530 -> 529,5,0,20000
6,530 -> 529,5,0,20000
7,530 -> 529,5,0,20000
8,530 -> 529,5,0,20000
9,530 -> 529,5,0,20000
10,530 -> 529,5,0,20000
11,530 -> 529,4,4000,16000
12,530 -> 529,4,4000,16000
13,530 -> 529,4,4000,16000
14,531 -> 530,2,12000,8000
15,531 -> 530,2,12000,8000
16,531 -> 530,2,12000,8000
17,531 -> 530,2,12000,8000
18,531 -> 530,2,12000,8000
19,531 -> 530,2,12000,8000
20,531 -> 530,4,4000,16000
21,531 -> 530,4,4000,16000
22,531 -> 530,5,0,20000
23,531 -> 530,5,0,20000
24,531 -> 530,5,0,20000
25,531 -> 530,5,0,20000
26,531 -> 530,5,0,20000
27,531 -> 530,5,0,20000
28,531 -> 530,5,0,20000
29,531 -> 530,5,0,20000
30,531 -> 530,5,0,20000
31,531 -> 530,5,0,20000
32,531 -> 530,5,0,20000
33,531 -> 530,5,0,20000
34,531 -> 530,5,0,20000
35,531 -> 530,5,0,20000
36,531 -> 530,5,0,20000
37,531 -> 530,4,4000,16000
38,531 -> 530,4,4000,16000
39,531 -> 530,4,4000,16000
40,532 -> 531,2,12000,8000
41,532 -> 531,2,12000,8000
42,532 -> 531,2,12000,8000
43,532 -> 531,2,12000,8000
44,532 -> 531,2,12000,8000
45,532 -> 531,2,12000,8000
46,532 -> 531,4,4000,16000
47,532 -> 531,4,4000,16000
48,532 -> 531,5,0,20000
49,532 -> 531,5,0,20000
50,532 -> 531,5,0,20000
