FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,529 -> 530,4,16000,4000
2,529 -> 530,3,12000,8000
3,529 -> 530,3,12000,8000
4,529 -> 530,3,8000,12000
5,529 -> 530,3,20000,0
6,529 -> 530,3,16000,4000
7,529 -> 530,3,16000,4000
8,529 -> 530,3,20000,0
9,529 -> 530,3,20000,0
10,529 -> 530,3,20000,0
11,529 -> 530,3,8000,12000
12,530 -> 531,5,8000,12000
13,530 -> 531,5,20000,0
14,530 -> 531,5,12000,8000
15,530 -> 531,5,8000,12000
16,530 -> 531,5,8000,12000
17,530 -> 531,5,20000,0
18,530 -> 531,5,16000,4000
19,530 -> 531,5,16000,4000
20,530 -> 531,4,4000,16000
21,530 -> 531,4,20000,0
22,530 -> 531,4,4000,16000
23,530 -> 531,4,20000,0
24,530 -> 531,4,20000,0
25,530 -> 531,4,8000,12000
26,530 -> 531,4,20000,0
27,530 -> 531,4,4000,16000
28,530 -> 531,4,12000,8000
29,530 -> 531,3,20000,0
30,530 -> 531,3,8000,12000
31,530 -> 531,3,20000,0
32,530 -> 531,3,8000,12000
33,530 -> 531,3,20000,0
34,530 -> 531,3,20000,0
35,530 -> 531,3,20000,0
36,530 -> 531,3,8000,12000
37,530 -> 531,3,8000,12000
38,531 -> 532,5,12000,8000
39,531 -> 532,5,4000,16000
40,531 -> 532,5,12000,8000
41,531 -> 532,5,20000,0
42,531 -> 532,5,4000,16000
43,531 -> 532,5,16000,4000
44,531 -> 532,5,4000,16000
45,531 -> 532,5,0,20000
46,531 -> 532,4,20000,0
47,531 -> 532,4,8000,12000
48,531 -> 532,4,20000,0
49,531 -> 532,4,16000,4000
50,531 -> 532,4,12000,8000
