FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,784 -> 785,2,20000,0
2,784 -> 785,1,16000,4000
3,784 -> 785,1,20000,0
4,784 -> 785,1,16000,4000
5,784 -> 785,1,16000,4000
6,784 -> 785,1,20000,0
7,784 -> 785,1,20000,0
8,784 -> 785,1,20000,0
9,784 -> 785,1,20000,0
10,784 -> 785,1,20000,0
11,784 -> 785,1,16000,4000
12,784 -> 785,2,20000,0
13,784 -> 785,2,12000,8000
14,784 -> 785,2,20000,0
15,784 -> 785,2,20000,0
16,784 -> 785,2,12000,8000
17,784 -> 785,2,12000,8000
18,784 -> 785,2,20000,0
19,784 -> 785,2,20000,0
20,784 -> 785,2,12000,8000
21,784 -> 785,1,20000,0
22,784 -> 785,1,20000,0
23,784 -> 785,1,20000,0
24,784 -> 785,1,20000,0
25,785 -> 786,2,20000,0
26,785 -> 786,2,20000,0
27,785 -> 786,2,20000,0
28,785 -> 786,2,12000,8000
29,785 -> 786,1,16000,4000
30,785 -> 786,1,20000,0
31,785 -> 786,1,20000,0
32,785 -> 786,1,16000,4000
33,785 -> 786,1,20000,0
34,785 -> 786,1,20000,0
35,785 -> 786,1,16000,4000
36,785 -> 786,1,20000,0
37,785 -> 786,1,16000,4000
38,785 -> 786,2,20000,0
39,785 -> 786,2,20000,0
40,785 -> 786,2,20000,0
41,785 -> 786,2,20000,0
42,785 -> 786,2,20000,0
43,785 -> 786,2,20000,0
44,785 -> 786,2,20000,0
45,785 -> 786,2,20000,0
46,785 -> 786,2,20000,0
47,785 -> 786,1,16000,4000
48,785 -> 786,1,16000,4000
49,785 -> 786,1,16000,4000
50,785 -> 786,1,20000,0
