FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,784 -> 785,2,12000,8000
2,784 -> 785,1,16000,4000
3,784 -> 785,1,16000,4000
4,784 -> 785,1,16000,4000
5,784 -> 785,1,16000,4000
6,784 -> 785,1,16000,4000
7,784 -> 785,1,16000,4000
8,784 -> 785,1,16000,4000
9,784 -> 785,1,16000,4000
10,784 -> 785,1,16000,4000
11,784 -> 785,1,16000,4000
12,784 -> 785,2,12000,8000
13,784 -> 785,2,12000,8000
14,784 -> 785,2,12000,8000
15,784 -> 785,2,12000,8000
16,784 -> 785,2,12000,8000
17,784 -> 785,2,12000,8000
18,784 -> 785,2,12000,8000
19,784 -> 785,2,12000,8000
20,784 -> 785,2,12000,8000
21,784 -> 785,1,16000,4000
22,784 -> 785,1,16000,4000
23,784 -> 785,1,16000,4000
24,784 -> 785,1,16000,4000
25,785 -> 786,2,12000,8000
26,785 -> 786,2,12000,8000
27,785 -> 786,2,12000,8000
28,785 -> 786,2,12000,8000
29,785 -> 786,1,16000,4000
30,785 -> 786,1,16000,4000
31,785 -> 786,1,16000,4000
32,785 -> 786,1,16000,4000
33,785 -> 786,1,16000,4000
34,785 -> 786,1,16000,4000
35,785 -> 786,1,16000,4000
36,785 -> 786,1,16000,4000
37,785 -> 786,1,16000,4000
38,785 -> 786,2,12000,8000
39,785 -> 786,2,12000,8000
40,785 -> 786,2,12000,8000
41,785 -> 786,2,12000,8000
42,785 -> 786,2,12000,8000
43,785 -> 786,2,12000,8000
44,785 -> 786,2,12000,8000
45,785 -> 786,2,12000,8000
46,785 -> 786,2,12000,8000
47,785 -> 786,1,16000,4000
48,785 -> 786,1,16000,4000
49,785 -> 786,1,16000,4000
50,785 -> 786,1,16000,4000
