FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,400 -> 401,0,20000,0
2,400 -> 401,0,20000,0
3,400 -> 401,0,20000,0
4,400 -> 401,0,20000,0
5,400 -> 401,0,20000,0
6,400 -> 401,0,20000,0
7,401 -> 402,0,20000,0
8,401 -> 402,0,20000,0
9,401 -> 402,0,20000,0
10,401 -> 402,0,20000,0
11,401 -> 402,0,20000,0
12,401 -> 402,0,20000,0
13,401 -> 402,0,20000,0
14,401 -> 402,0,20000,0
15,401 -> 402,0,20000,0
16,401 -> 402,0,20000,0
17,401 -> 402,0,20000,0
18,401 -> 402,0,20000,0
19,401 -> 402,0,20000,0
20,401 -> 402,0,20000,0
21,401 -> 402,0,20000,0
22,401 -> 402,0,20000,0
23,401 -> 402,0,20000,0
24,401 -> 402,0,20000,0
25,401 -> 402,0,20000,0
26,401 -> 402,0,20000,0
27,401 -> 402,0,20000,0
28,401 -> 402,0,20000,0
29,401 -> 402,0,20000,0
30,401 -> 402,0,20000,0
31,401 -> 402,0,20000,0
32,401 -> 402,0,20000,0
33,401 -> 402,0,20000,0
34,401 -> 402,0,20000,0
35,401 -> 402,0,20000,0
36,401 -> 402,0,20000,0
37,401 -> 402,0,20000,0
38,401 -> 402,0,20000,0
39,401 -> 402,0,20000,0
40,401 -> 402,0,20000,0
41,401 -> 402,0,20000,0
42,401 -> 402,0,20000,0
43,401 -> 402,0,20000,0
44,401 -> 402,0,20000,0
45,401 -> 402,0,20000,0
46,401 -> 402,0,20000,0
47,401 -> 402,0,20000,0
48,401 -> 402,0,20000,0
49,401 -> 402,0,20000,0
50,401 -> 402,0,20000,0
51,402 -> 403,0,20000,0
52,402 -> 403,0,20000,0
53,402 -> 403,0,20000,0
54,402 -> 403,0,20000,0
55,402 -> 403,0,20000,0
56,402 -> 403,0,20000,0
57,402 -> 403,0,20000,0
58,402 -> 403,0,20000,0
59,402 -> 403,0,20000,0
60,402 -> 403,0,20000,0
61,402 -> 403,0,20000,0
62,402 -> 403,0,20000,0
63,402 -> 403,0,20000,0
64,402 -> 403,0,20000,0
65,402 -> 403,0,20000,0
66,402 -> 403,0,20000,0
67,402 -> 403,0,20000,0
68,402 -> 403,0,20000,0
69,402 -> 403,0,20000,0
70,402 -> 403,0,20000,0
71,402 -> 403,0,20000,0
72,402 -> 403,0,20000,0
73,402 -> 403,0,20000,0
74,402 -> 403,0,20000,0
75,402 -> 403,0,20000,0
76,402 -> 403,0,20000,0
77,402 -> 403,0,20000,0
