FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,401 -> 400,1,4000,16000
2,401 -> 400,1,4000,16000
3,401 -> 400,1,4000,16000
4,401 -> 400,1,4000,16000
5,401 -> 400,1,4000,16000
6,402 -> 401,2,0,20000
7,402 -> 401,2,0,20000
8,402 -> 401,2,0,20000
9,402 -> 401,2,0,20000
10,402 -> 401,2,0,20000
11,402 -> 401,2,0,20000
12,402 -> 401,2,0,20000
13,402 -> 401,2,0,20000
14,402 -> 401,2,0,20000
15,402 -> 401,2,0,20000
16,402 -> 401,2,0,20000
17,402 -> 401,2,0,20000
18,402 -> 401,2,0,20000
19,402 -> 401,2,0,20000
20,402 -> 401,2,0,20000
21,402 -> 401,2,0,20000
22,402 -> 401,2,0,20000
23,402 -> 401,2,0,20000
24,402 -> 401,2,0,20000
25,402 -> 401,2,0,20000
26,402 -> 401,2,0,20000
27,402 -> 401,2,0,20000
28,402 -> 401,2,0,20000
29,402 -> 401,2,0,20000
30,402 -> 401,2,0,20000
31,402 -> 401,2,0,20000
32,402 -> 401,2,0,20000
33,402 -> 401,2,0,20000
34,402 -> 401,2,0,20000
35,402 -> 401,2,0,20000
36,402 -> 401,2,0,20000
37,402 -> 401,2,0,20000
38,402 -> 401,2,0,20000
39,402 -> 401,2,0,20000
40,402 -> 401,2,0,20000
41,402 -> 401,2,0,20000
42,402 -> 401,1,4000,16000
43,402 -> 401,1,4000,16000
44,402 -> 401,1,4000,16000
45,402 -> 401,1,4000,16000
46,402 -> 401,1,4000,16000
47,402 -> 401,1,4000,16000
48,402 -> 401,1,4000,16000
49,403 -> 402,2,0,20000
50,403 -> 402,2,0,20000
51,403 -> 402,2,0,20000
52,403 -> 402,2,0,20000
53,403 -> 402,2,0,20000
54,403 -> 402,2,0,20000
55,403 -> 402,2,0,20000
56,403 -> 402,2,0,20000
57,403 -> 402,2,0,20000
58,403 -> 402,2,0,20000
59,403 -> 402,2,0,20000
60,403 -> 402,2,0,20000
61,403 -> 402,2,0,20000
62,403 -> 402,2,0,20000
63,403 -> 402,2,0,20000
64,403 -> 402,2,0,20000
65,403 -> 402,2,0,20000
66,403 -> 402,2,0,20000
67,403 -> 402,2,0,20000
68,403 -> 402,2,0,20000
69,403 -> 402,2,0,20000
70,403 -> 402,2,0,20000
71,403 -> 402,2,0,20000
72,403 -> 402,2,0,20000
73,403 -> 402,2,0,20000
74,403 -> 402,2,0,20000
75,403 -> 402,2,0,20000
76,403 -> 402,2,0,20000
77,403 -> 402,2,0,20000
78,403 -> 402,2,0,20000
79,403 -> 402,2,0,20000
80,403 -> 402,2,0,20000
81,403 -> 402,2,0,20000
82,403 -> 402,2,0,20000
83,403 -> 402,2,0,20000
84,403 -> 402,1,4000,16000
85,403 -> 402,1,4000,16000
86,403 -> 402,1,4000,16000
87,403 -> 402,1,4000,16000
88,403 -> 402,1,4000,16000
89,403 -> 402,1,4000,16000
90,403 -> 402,1,4000,16000
91,403 -> 402,1,4000,16000
92,404 -> 403,2,0,20000
93,404 -> 403,2,0,20000
94,404 -> 403,2,0,20000
95,404 -> 403,2,0,20000
96,404 -> 403,2,0,20000
97,404 -> 403,2,0,20000
98,404 -> 403,2,0,20000
99,404 -> 403,2,0,20000
100,404 -> 403,2,0,20000
