FRAME,PATHS
0,nan
1,Havana -> Toronto
2,Havana -> Toronto
3,Havana -> Toronto
4,Havana -> Toronto
5,Havana -> Toronto
6,Miami -> New York,Havana -> New York
7,Miami -> New York,Havana -> New York
8,Miami -> New York,Havana -> New York
9,Miami -> New York,Havana -> New York
10,Miami -> New York,Havana -> New York
11,Miami -> New York,Havana -> New York
12,Miami -> New York,Havana -> New York
13,Miami -> New York,Havana -> New York
14,Miami -> New York,Havana -> New York
15,Miami -> New York,Havana -> New York
16,Miami -> New York,Havana -> New York
17,Miami -> New York,Havana -> New York
18,Miami -> New York,Havana -> New York
19,Miami -> New York,Havana -> New York
20,Miami -> New York,Havana -> New York
21,Miami -> New York,Havana -> New York
22,Miami -> New York,Havana -> New York
23,Miami -> New York,Havana -> New York
24,Miami -> New York,Havana -> New York
25,Miami -> New York,Havana -> New York
26,Miami -> New York,Havana -> New York
27,Miami -> New York,Havana -> New York
28,Miami -> New York,Havana -> New York
29,Miami -> New York,Havana -> New York
30,Miami -> New York,Havana -> New York
31,Miami -> New York,Havana -> New York
32,Miami -> New York,Havana -> New York
33,Miami -> New York,Havana -> New York
34,Miami -> New York,Havana -> New York
35,Miami -> New York,Havana -> New York
36,Miami -> Toronto,Havana -> Toronto
37,Miami -> Toronto,Havana -> Toronto
38,Miami -> Toronto,Havana -> Toronto
39,Miami -> Toronto,Havana -> Toronto
40,Miami -> Toronto,Havana -> Toronto
41,Miami -> Toronto,Havana -> Toronto
42,Havana -> Toronto
43,Havana -> Toronto
44,Havana -> Toronto
45,Havana -> Toronto
46,Havana -> Toronto
47,Havana -> Toronto
48,Havana -> Toronto
49,Miami -> New York,Havana -> New York
50,Miami -> New York,Havana -> New York
51,Miami -> New York,Havana -> New York
52,Miami -> New York,Havana -> New York
53,Miami -> New York,Havana -> New York
54,Miami -> New York,Havana -> New York
55,Miami -> New York,Havana -> New York
56,Miami -> New York,Havana -> New York
57,Miami -> New York,Havana -> New York
58,Miami -> New York,Havana -> New York
59,Miami -> New York,Havana -> New York
60,Miami -> New York,Havana -> New York
61,Miami -> New York,Havana -> New York
62,Miami -> New York,Havana -> New York
63,Miami -> New York,Havana -> New York
64,Miami -> New York,Havana -> New York
65,Miami -> New York,Havana -> New York
66,Miami -> New York,Havana -> New York
67,Miami -> New York,Havana -> New York
68,Miami -> New York,Havana -> New York
69,Miami -> New York,Havana -> New York
70,Miami -> New York,Havana -> New York
71,Miami -> New York,Havana -> New York
72,Miami -> New York,Havana -> New York
73,Miami -> New York,Havana -> New York
74,Miami -> New York,Havana -> New York
75,Miami -> New York,Havana -> New York
76,Miami -> New York,Havana -> New York
77,Miami -> New York,Havana -> New York
78,Miami -> New York,Havana -> New York
79,Miami -> Toronto,Havana -> Toronto
80,Miami -> Toronto,Havana -> Toronto
81,Miami -> Toronto,Havana -> Toronto
82,Miami -> Toronto,Havana -> Toronto
83,Miami -> Toronto,Havana -> Toronto
84,Havana -> Toronto
85,Havana -> Toronto
86,Havana -> Toronto
87,Havana -> Toronto
88,Havana -> Toronto
89,Havana -> Toronto
90,Havana -> Toronto
91,Havana -> Toronto
92,Miami -> New York,Havana -> New York
93,Miami -> New York,Havana -> New York
94,Miami -> New York,Havana -> New York
95,Miami -> New York,Havana -> New York
96,Miami -> New York,Havana -> New York
97,Miami -> New York,Havana -> New York
98,Miami -> New York,Havana -> New York
99,Miami -> New York,Havana -> New York
100,Miami -> New York,Havana -> New York
