FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,530 -> 595,0,20000,0
2,530 -> 595,0,20000,0
3,530 -> 595,0,20000,0
4,530 -> 595,0,20000,0
5,530 -> 595,0,20000,0
6,530 -> 595,0,20000,0
7,530 -> 595,0,20000,0
8,530 -> 595,0,20000,0
9,530 -> 595,0,20000,0
10,530 -> 595,0,20000,0
11,530 -> 595,0,20000,0
12,530 -> 595,0,20000,0
13,530 -> 595,0,20000,0
14,530 -> 595,0,20000,0
15,530 -> 595,0,20000,0
16,530 -> 595,0,20000,0
17,530 -> 595,0,20000,0
18,530 -> 595,0,20000,0
19,530 -> 595,0,20000,0
20,530 -> 595,0,20000,0
21,530 -> 595,0,20000,0
22,530 -> 595,0,20000,0
23,530 -> 595,0,20000,0
24,530 -> 595,0,20000,0
25,530 -> 595,0,20000,0
26,530 -> 595,0,20000,0
27,530 -> 595,0,20000,0
28,530 -> 595,0,20000,0
29,530 -> 595,0,20000,0
30,530 -> 595,0,20000,0
31,530 -> 595,0,20000,0
32,530 -> 595,0,20000,0
33,530 -> 595,0,20000,0
34,530 -> 595,0,20000,0
35,530 -> 595,0,20000,0
36,530 -> 595,0,20000,0
37,530 -> 595,0,20000,0
38,596 -> 531,2,20000,0
39,596 -> 531,2,20000,0
40,596 -> 531,2,20000,0
41,596 -> 531,2,20000,0
42,596 -> 531,2,20000,0
43,596 -> 531,2,20000,0
44,596 -> 531,2,12000,8000
45,596 -> 531,2,20000,0
46,596 -> 531,0,20000,0
47,596 -> 531,1,20000,0
48,596 -> 531,1,20000,0
49,596 -> 531,1,20000,0
50,596 -> 531,2,20000,0
