FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,529 -> 594,2,20000,0
2,529 -> 594,2,20000,0
3,529 -> 594,2,20000,0
4,529 -> 594,2,20000,0
5,529 -> 594,3,20000,0
6,529 -> 594,2,20000,0
7,529 -> 594,1,20000,0
8,529 -> 594,1,20000,0
9,529 -> 594,1,20000,0
10,529 -> 594,0,20000,0
11,529 -> 594,0,20000,0
12,530 -> 595,3,20000,0
13,530 -> 595,3,20000,0
14,530 -> 595,3,20000,0
15,530 -> 595,3,8000,12000
16,530 -> 595,3,20000,0
17,530 -> 595,3,20000,0
18,530 -> 595,3,20000,0
19,530 -> 595,3,20000,0
20,530 -> 595,0,20000,0
21,530 -> 595,0,20000,0
22,530 -> 595,0,20000,0
23,530 -> 595,0,20000,0
24,530 -> 595,1,20000,0
25,530 -> 595,1,20000,0
26,530 -> 595,2,20000,0
27,530 -> 595,2,20000,0
28,530 -> 595,2,20000,0
29,530 -> 595,2,12000,8000
30,530 -> 595,2,20000,0
31,530 -> 595,3,20000,0
32,530 -> 595,2,20000,0
33,530 -> 595,2,20000,0
34,530 -> 595,1,20000,0
35,530 -> 595,1,20000,0
36,530 -> 595,0,20000,0
37,530 -> 595,0,20000,0
38,531 -> 596,3,20000,0
39,531 -> 596,3,20000,0
40,531 -> 596,3,20000,0
41,531 -> 596,3,20000,0
42,531 -> 596,3,20000,0
43,531 -> 596,3,20000,0
44,531 -> 596,3,20000,0
45,531 -> 596,3,20000,0
46,531 -> 596,0,20000,0
47,531 -> 596,0,20000,0
48,531 -> 596,0,20000,0
49,531 -> 596,0,20000,0
50,531 -> 596,1,20000,0
