FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,529 -> 594,2,12000,8000
2,529 -> 594,2,12000,8000
3,529 -> 594,2,12000,8000
4,529 -> 594,2,12000,8000
5,529 -> 594,3,8000,12000
6,529 -> 594,2,12000,8000
7,529 -> 594,1,16000,4000
8,529 -> 594,1,16000,4000
9,529 -> 594,1,16000,4000
10,529 -> 594,0,20000,0
11,529 -> 594,0,20000,0
12,530 -> 595,3,8000,12000
13,530 -> 595,3,8000,12000
14,530 -> 595,3,8000,12000
15,530 -> 595,3,8000,12000
16,530 -> 595,3,8000,12000
17,530 -> 595,3,8000,12000
18,530 -> 595,3,8000,12000
19,530 -> 595,3,8000,12000
20,530 -> 595,0,20000,0
21,530 -> 595,0,20000,0
22,530 -> 595,0,20000,0
23,530 -> 595,0,20000,0
24,530 -> 595,1,16000,4000
25,530 -> 595,1,16000,4000
26,530 -> 595,2,12000,8000
27,530 -> 595,2,12000,8000
28,530 -> 595,2,12000,8000
29,530 -> 595,2,12000,8000
30,530 -> 595,2,12000,8000
31,530 -> 595,3,8000,12000
32,530 -> 595,2,12000,8000
33,530 -> 595,2,12000,8000
34,530 -> 595,1,16000,4000
35,530 -> 595,1,16000,4000
36,530 -> 595,0,20000,0
37,530 -> 595,0,20000,0
38,531 -> 596,3,8000,12000
39,531 -> 596,3,8000,12000
40,531 -> 596,3,8000,12000
41,531 -> 596,3,8000,12000
42,531 -> 596,3,8000,12000
43,531 -> 596,3,8000,12000
44,531 -> 596,3,8000,12000
45,531 -> 596,3,8000,12000
46,531 -> 596,0,20000,0
47,531 -> 596,0,20000,0
48,531 -> 596,0,20000,0
49,531 -> 596,0,20000,0
50,531 -> 596,1,16000,4000
